STATION,ORDER,AM_ENTERS,AM_EXITS,AM_TOTALS,AM_COMMUTERS
104 ST,1,2441,74,2367,2367.0
111 ST,2,6459,146,6313,3946.0
125 ST,3,6472,5890,582,5731.0
14 ST,4,3919,11802,-7883,8465.0
145 ST,5,8715,3053,5662,13545.0
168 ST,6,7006,4972,2034,3628.0
175 ST,7,6414,792,5622,3588.0
181 ST,8,12955,1696,11259,5637.0
190 ST,9,1988,212,1776,9483.0
34 ST-PENN STA,10,23563,17055,6508,4732.0
42 ST-PORT AUTH,11,47684,25368,22316,15808.0
50 ST 8 AV,12,4572,6636,-2064,24380.0
59 ST COLUMBUS,13,4615,17394,-12779,10715.0
80 ST,14,8396,336,8060,20839.0
88 ST,15,6117,135,5982,2078.0
AQUEDUCT N.COND,16,2137,308,1829,4153.0
AQUEDUCT RACETR,17,589,27,562,1267.0
BEACH 105 ST,18,515,152,363,199.0
BEACH 25 ST,19,2224,375,1849,1486.0
BEACH 36 ST,20,1124,135,989,860.0
BEACH 44 ST,21,783,366,417,572.0
BEACH 60 ST,22,2526,303,2223,1806.0
BEACH 67 ST,23,2438,384,2054,169.0
BEACH 90 ST,24,1930,184,1746,308.0
BEACH 98 ST,25,934,302,632,1114.0
BROAD CHANNEL,26,832,52,780,148.0
BROADWAY JCT,27,5493,2685,2808,2028.0
CANAL ST,28,1013,4971,-3958,6766.0
CHAMBERS ST,29,4693,9321,-4628,670.0
DYCKMAN ST,30,8185,96,8089,12717.0
EUCLID AV,31,7664,931,6733,1356.0
FAR ROCKAWAY,32,4504,1453,3051,3682.0
FRANKLIN AV,33,4470,2992,1478,1573.0
FULTON ST,34,20936,31004,-10068,11546.0
GRANT AV,35,4793,628,4165,14233.0
HIGH ST,36,892,2247,-1355,5520.0
HOWARD BCH JFK,37,2545,2294,251,1606.0
HOYT-SCHER,38,1254,2107,-853,1104.0
INWOOD-207 ST,39,11800,1149,10651,11504.0
JAY ST-METROTEC,40,3850,3991,-141,10792.0
NOSTRAND AV,41,5011,2436,2575,2716.0
OZONE PK LEFFRT,42,10129,1136,8993,6418.0
ROCKAWAY BLVD,43,12873,1655,11218,2225.0
ROCKAWAY PARK B,44,1142,476,666,10552.0
UTICA AV,45,16992,4222,12770,12104.0
W 4 ST-WASH SQ,46,8866,16294,-7428,20198.0
