STATION,LINENAME,AM_ENTERS,AM_EXITS,PM_ENTERS,PM_EXITS
1 AV,L,2173.0,5427.0,51881.0,51545.0
103 ST,1,7888.0,1943.0,13537.0,6671.0
103 ST,6,8439.0,7932.0,16862.0,12606.0
103 ST,BC,4581.0,1183.0,4818.0,3202.0
103 ST-CORONA,7,22039.0,1903.0,30974.0,40746.0
104 ST,A,2441.0,74.0,2498.0,1953.0
104 ST,JZ,1539.0,35.0,1871.0,298.0
110 ST,6,3797.0,1695.0,24771.0,22006.0
111 ST,7,16416.0,1219.0,17124.0,18654.0
111 ST,A,6459.0,146.0,1475.0,727.0
111 ST,J,2451.0,313.0,5279.0,4734.0
116 ST,23,8197.0,2255.0,11196.0,5236.0
116 ST,6,10861.0,5267.0,18221.0,8920.0
116 ST,BC,5165.0,2321.0,7244.0,5108.0
116 ST-COLUMBIA,1,2438.0,3837.0,21469.0,10059.0
121 ST,JZ,1251.0,253.0,2886.0,2526.0
125 ST,1,1815.0,1568.0,21141.0,19018.0
125 ST,23,7578.0,4778.0,17482.0,6317.0
125 ST,456,20342.0,18847.0,30216.0,24436.0
125 ST,ACBD,8707.0,6616.0,71363.0,56765.0
135 ST,23,5182.0,817.0,33305.0,9740.0
135 ST,BC,3747.0,3475.0,7384.0,4124.0
137 ST CITY COL,1,11771.0,4268.0,17308.0,12215.0
138/GRAND CONC,45,2015.0,1298.0,7762.0,6374.0
14 ST,123FLM,4474.0,3727.0,61205.0,33233.0
14 ST,ACEL,3919.0,11802.0,27238.0,16013.0
14 ST,FLM123,896.0,3921.0,72725.0,60488.0
14 ST-UNION SQ,456LNQRW,8909.0,15566.0,34135.0,30027.0
14 ST-UNION SQ,LNQR456W,9053.0,32568.0,83397.0,67925.0
145 ST,1,3958.0,974.0,20483.0,17215.0
145 ST,ABCD,13017.0,5495.0,56507.0,58876.0
149/GRAND CONC,245,4322.0,2052.0,40230.0,17495.0
14TH STREET,1,287.0,13.0,,
15 ST-PROSPECT,FG,3160.0,578.0,5057.0,2926.0
155 ST,BD,4413.0,872.0,3985.0,2074.0
155 ST,C,3019.0,730.0,2945.0,2061.0
157 ST,1,11408.0,2079.0,11993.0,6867.0
161/YANKEE STAD,4BD,6047.0,683.0,1124149114.0,453058020.0
161/YANKEE STAD,BD4,11116.0,2391.0,17700.0,8922.0
163 ST-AMSTERDM,C,5308.0,995.0,3818.0,3410.0
167 ST,4,9709.0,1531.0,18988.0,30888.0
168 ST,1AC,1879.0,4380.0,46787.0,26092.0
168 ST,AC1,5127.0,592.0,30721.0,9121.0
169 ST,F,7302.0,1477.0,17767.0,18657.0
170 ST,4,6253.0,1168.0,15600.0,16253.0
170 ST,BD,14841.0,1884.0,10996.0,4498.0
174 ST,25,9148.0,3042.0,8002.0,6825.0
175 ST,A,6414.0,792.0,23897.0,20703.0
176 ST,4,4569.0,686.0,12129.0,8185.0
18 AV,D,4439.0,231.0,10234.0,4782.0
18 AV,F,2050.0,315.0,8316.0,7112.0
